Unnamed: 0,FirstObjectDistance_X,FirstObjectDistance_Y,SecondObjectDistance_X,SecondObjectDistance_Y,ThirdObjectDistance_X,ThirdObjectDistance_Y,FourthObjectDistance_X,FourthObjectDistance_Y,VehicleSpeed,FirstObjectSpeed_X,FirstObjectSpeed_Y,SecondObjectSpeed_X,SecondObjectSpeed_Y,ThirdObjectSpeed_X,ThirdObjectSpeed_Y,FourthObjectSpeed_X,FourthObjectSpeed_Y,YawRate,Timestamp
0,64.1484375,11.28125,42.6171875,-9.0078125,24.2421875,-9.6640625,93.9375,13.3984375,0.0,-0.0078125,0.0,0.015625,0.00390625,0.00390625,0.02734375,0.02734375,0.0,0.0,33.241503657
1,64.125,11.2734375,42.6171875,-9.0078125,24.234375,-9.6640625,0.0,0.0,0.0,-0.015625,0.0,-0.0078125,0.01171875,0.0,0.0234375,0.0,0.0,0.0,33.335959518
2,64.1484375,11.28125,42.6015625,-9.0625,24.25,-9.625,0.0,0.0,0.0,-0.01171875,0.0,-0.00390625,-0.03515625,0.01953125,0.03125,0.0,0.0,0.0,33.429725329
3,64.1328125,11.2890625,42.59375,-9.109375,24.25,-9.625,0.0,0.0,0.0,-0.015625,0.0,0.0,-0.0546875,0.01171875,0.046875,0.0,0.0,0.0,33.522769212
4,64.1328125,11.2890625,42.59375,-9.1171875,24.265625,-9.5703125,0.0,0.0,0.0,0.0,0.00390625,0.0,-0.04296875,0.03125,0.0625,0.0,0.0,0.0,33.618715486
5,64.125,11.296875,42.6015625,-9.1328125,24.2265625,-9.609375,0.0,0.0,0.0,0.01171875,0.00390625,0.00390625,-0.03125,0.0,-0.01171875,0.0,0.0,0.0,33.715473678
6,64.1171875,11.28125,42.59375,-9.1640625,24.1875,-9.6171875,64.9375,1.171875,0.0,0.00390625,0.00390625,-0.01953125,-0.03125,-0.0078125,-0.0703125,-0.98046875,0.00390625,0.0,33.812754816
7,64.125,11.2734375,42.59375,-9.140625,24.1484375,-9.640625,64.796875,1.1328125,0.0,0.02734375,0.0,-0.0234375,0.0,-0.03125,-0.07421875,-0.90234375,-0.015625,0.0,33.911778778
8,64.125,11.296875,42.59375,-9.1171875,24.1015625,-9.65625,0.0,0.0,0.0,0.015625,0.00390625,-0.02734375,0.015625,-0.046875,-0.11328125,0.0,0.0,0.0,34.008659958
9,64.1015625,11.2890625,42.59375,-9.1171875,24.046875,-9.6953125,0.0,0.0,0.0,0.01171875,0.0,0.0,-0.0078125,-0.06640625,-0.12890625,0.0,0.0,0.0,34.10609708
10,64.0859375,11.28125,42.59375,-9.1015625,24.0078125,-9.703125,46.0703125,-11.5859375,0.0,-0.0078125,0.0,0.015625,-0.00390625,-0.0703125,-0.15234375,-0.0078125,0.02734375,0.0,34.202809277
11,64.078125,11.296875,42.578125,-9.1640625,23.9609375,-9.6953125,46.046875,-11.5390625,0.0,0.0078125,0.00390625,0.0,-0.03125,-0.06640625,-0.1328125,0.00390625,0.01953125,0.0,34.300034421
12,64.0546875,11.265625,42.5859375,-9.1640625,23.921875,-9.6875,46.0390625,-11.578125,0.0,0.00390625,0.0,0.00390625,-0.0234375,-0.07421875,-0.12890625,0.0234375,-0.01171875,0.0,34.395294765
13,64.078125,11.2890625,42.59375,-9.140625,23.8671875,-9.71875,46.03125,-11.578125,0.0,-0.01171875,0.00390625,0.0078125,0.00390625,-0.078125,-0.1484375,-0.0078125,0.02734375,0.0,34.494988525
14,64.1015625,11.2734375,42.5859375,-9.2109375,23.828125,-9.6796875,45.96875,-11.53125,0.0,0.00390625,0.0,0.01171875,-0.0390625,-0.0625,-0.13671875,-0.0078125,0.01171875,0.0,34.590441679
15,64.09375,11.28125,42.59375,-9.1484375,23.7734375,-9.703125,45.9609375,-11.390625,0.0,0.0,0.0,0.01171875,0.0234375,-0.07421875,-0.11328125,-0.015625,0.07421875,0.0,34.687057968
16,64.09375,11.3125,42.5859375,-9.1796875,23.7265625,-9.6875,45.9609375,-11.453125,0.0,0.0,0.00390625,0.0,0.00390625,-0.06640625,-0.109375,0.015625,0.015625,0.0,34.784015298
17,64.0859375,11.28125,42.5859375,-9.171875,23.6953125,-9.6484375,45.9296875,-11.4921875,0.0,-0.01171875,0.0,0.0,0.00390625,-0.05078125,-0.08984375,0.0,-0.0078125,0.0,34.881995747
